date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:07	35597/35597	---M--	200	added ('OK')	text/html	etag:%22f68e83-8b0d-473cb4a109a40%22	http://ascii.cl/es/codigos-html.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/codigos-html.htm	(from )
22:59:07	15/15	---M--	200	added ('OK')	text/plain	etag:%22f68960-f-456f94298d3c0%22	http://www.ascii.cl/robots.txt		(from )
22:59:07	15/15	---M--	200	added ('OK')	text/plain	etag:%22f68960-f-456f94298d3c0%22	http://ascii.cl/robots.txt		(from )
22:59:07	19968/19968	---M--	200	added ('OK')	text/html	etag:%22f68954-4e00-473cb4a109a40%22	http://ascii.cl/es/conversion.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/conversion.htm	(from )
22:59:08	8143/8143	---M--	200	added ('OK')	text/html	etag:%22f6894b-1fcf-473cb4a109a40%22	http://ascii.cl/es/referencias.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/referencias.htm	(from )
22:59:08	8292/8292	---M--	200	added ('OK')	text/html	etag:%22f68953-2064-473cb4a109a40%22	http://ascii.cl/es/codigos-de-control.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/codigos-de-control.htm	(from )
22:59:08	4166/4166	---M--	200	added ('OK')	text/html	etag:%22f6894d-1046-473cb4a109a40%22	http://ascii.cl/es/url-encoding.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/url-encoding.htm	(from )
22:59:09	4056/4056	---M--	200	added ('OK')	text/html	etag:%22f68ea9-fd8-473cb59251380%22	http://ascii.cl/es/url-decoding.htm	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/es/url-decoding.htm	(from )
22:59:09	10512/10512	---M--	200	added ('OK')	text/html	etag:%22f68955-2910-473cb4a109a40%22	http://www.ascii.cl/es/	C:/My%20Web%20Sites/codigos%20de%20caracteres/www.ascii.cl/es/index.html	(from )
22:59:10	2072/2072	---M--	200	added ('OK')	text/css	etag:%22f6895e-818-456f94298d3c0%22	http://ascii.cl/ascii.css	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/ascii.css	(from )
22:59:11	8950/8950	---M--	200	added ('OK')	application/javascript	etag:%22f312b0-22f6-456f922d3e480%22	http://sitios.cl/js/t26.js	C:/My%20Web%20Sites/codigos%20de%20caracteres/sitios.cl/js/t26.js	(from )
22:59:11	216/216	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Jun%202011%2004:59:10%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/codigos%20de%20caracteres/pagead2.googlesyndication.com/pagead/show_ads.8.delayed	(from )
22:59:11	400/400	---M--	200	added ('OK')	image/gif	etag:%22f68964-190-456f94298d3c0%22	http://ascii.cl/top16.gif	C:/My%20Web%20Sites/codigos%20de%20caracteres/ascii.cl/top16.gif	(from )
22:59:12	207/207	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Jun%202011%2004:59:11%20GMT	http://www.google-analytics.com/urchin.js	C:/My%20Web%20Sites/codigos%20de%20caracteres/www.google-analytics.com/urchin.a.delayed	(from )
